task,scale,repo,commit,issue_url,mode,repeat,provider,model,trace_backend,document_lines,wall_s,recovery_wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,model_calls,recovery_ledger_steps,rollback_targets,regenerated_paths,independent_retained,independent_unchanged,documents_valid,solution_present,derived_removed,host_leak_before_commit,tests_rc,finished,finish_called,committed,success,error
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,whole_branch_abort,0,anthropic,claude-opus-5,strace,32,15.484196,0.814844,0,0,0,0,0,0,"[0, 1, 2, 3, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241112108289685028268d9d6MDHp1yzL) (request id: 202608241112108040491328268d9d61EFIJQJs)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,causal,0,anthropic,claude-opus-5,strace,64,38.816326,21.477062,0,0,0,0,0,0,"[1, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241112494719592718268d9d6QbRTVdje) (request id: 202608241112397932152568268d9d6V1AO40Hs)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,temporal_checkpoint,0,anthropic,claude-opus-5,strace,64,94.176047,78.35128,0,0,0,0,0,0,"[1, 2, 3, 4, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241114232320131488268d9d6upWv1uLR) (request id: 202608241114133533228948268d9d6d8qr8uRi)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,whole_branch_abort,0,anthropic,claude-opus-5,strace,64,30.918119,16.315285,0,0,0,0,0,0,"[0, 1, 2, 3, 4, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241114544889771858268d9d6HIMSWBi7) (request id: 202608241114448157170058268d9d6C0UvCaEv)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,anthropic,claude-sonnet-4-6,strace,16,27.093675,15.880374,0,0,0,0,0,0,"[1, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241115219259490268268d9d6hUg3upw4) (request id: 202608241115122769525498268d9d6qA7ra3Sl)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,temporal_checkpoint,0,anthropic,claude-sonnet-4-6,strace,16,28.40011,16.689603,0,0,0,0,0,0,"[1, 2, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241115505070834208268d9d6FD54O6JQ) (request id: 202608241115408088739968268d9d6hkyz7O2z)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,whole_branch_abort,0,anthropic,claude-sonnet-4-6,strace,16,30.111908,18.360074,0,0,0,0,0,0,"[0, 1, 2, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241116208055724698268d9d6vLgW23UJ) (request id: 202608241116111886000488268d9d6hlfv6lzw)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,causal,0,anthropic,claude-sonnet-4-6,strace,32,17.960095,4.307094,0,0,0,0,0,0,"[1, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241116383222838978268d9d6928qXLf1) (request id: 202608241116382135201408268d9d6WiF8irx4)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,temporal_checkpoint,0,anthropic,claude-sonnet-4-6,strace,32,13.449693,0.804395,0,0,0,0,0,0,"[1, 2, 3, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241116528546726308268d9d6T6KiSDs8) (request id: 202608241116528299001938268d9d6TzdqmD0s)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,whole_branch_abort,0,anthropic,claude-sonnet-4-6,strace,32,13.677538,0.818059,0,0,0,0,0,0,"[0, 1, 2, 3, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241117065832322298268d9d60iPZ8MfN) (request id: 202608241117065572872018268d9d6pdYUM4L5)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,causal,0,anthropic,claude-sonnet-4-6,strace,64,68.676454,54.208728,0,0,0,0,0,0,"[1, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241118138222000988268d9d6rwrUybjV) (request id: 202608241118041703023018268d9d6mks8Mymm)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,temporal_checkpoint,0,anthropic,claude-sonnet-4-6,strace,64,35.191036,19.515568,0,0,0,0,0,0,"[1, 2, 3, 4, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241118499388337448268d9d6A4OxABQQ) (request id: 202608241118402940269698268d9d6ZxPrLzub)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,whole_branch_abort,0,anthropic,claude-sonnet-4-6,strace,64,59.312388,44.171497,0,0,0,0,0,0,"[0, 1, 2, 3, 4, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241119499560355948268d9d66IHZ5aUR) (request id: 202608241119403320238918268d9d6im9no4lq)
